time[ms], HeartBeat(RGB), HeartBeat(IR), HeartBeat(depth), Breathing(depth)
15134.436, 116.1991, 3943.243, 1161.323, 1161.592
15134.469, 116.3989, 3944.216, 1161.287, 1161.581
15134.502, 116.5864, 3947.888, 1161.662, 1161.79
15134.536, 116.7281, 3955.131, 1161.713, 1161.813
15134.569, 116.8441, 3959.182, 1161.904, 1161.871
15134.602, 116.8462, 3963.982, 1162.066, 1161.979
15134.636, 116.8289, 3964.814, 1162.008, 1161.99
15134.669, 116.7757, 3963.989, 1161.942, 1161.981
15134.702, 116.7428, 3962.076, 1161.421, 1161.758
15134.736, 116.7112, 3965.816, 1161.275, 1161.631
15134.769, 116.6538, 3968.249, 1161.388, 1161.627
15134.802, 116.5418, 3969.923, 1161.521, 1161.658
15134.836, 116.4605, 3970.917, 1161.719, 1161.689
15134.869, 116.4051, 3972.913, 1161.927, 1161.791
15134.902, 116.4276, 3975.435, 1162.172, 1161.899
15134.936, 116.417, 3976.772, 1162.469, 1162.044
15134.969, 116.4597, 3976.318, 1162.706, 1162.227
15135.002, 116.4876, 3976.469, 1162.854, 1162.42
15135.036, 116.534, 3976.871, 1162.957, 1162.613
15135.069, 116.5015, 3979.97, 1162.997, 1162.778
15135.102, 116.4875, 3980.212, 1163.142, 1162.989
15135.136, 116.4408, 3981.319, 1163.228, 1163.171
15135.169, 116.2599, 3982.28, 1163.139, 1163.287
15135.202, 116.061, 3983.261, 1163.152, 1163.381
15135.236, 115.8678, 3984.098, 1163.25, 1163.51
15135.269, 115.694, 3986.652, 1163.612, 1163.739
15135.302, 115.5827, 3988.456, 1163.746, 1163.823
15135.336, 115.5323, 3991.259, 1163.987, 1163.959
15135.369, 115.4991, 3991.573, 1164.039, 1163.979
15135.402, 115.5612, 3992.034, 1164.164, 1164.095
15135.436, 115.7516, 3990.149, 1164.267, 1164.211
15135.469, 115.9138, 3988.303, 1164.31, 1164.299
15135.502, 115.9811, 3987.152, 1164.318, 1164.377
15135.536, 116.0702, 3985.703, 1164.007, 1164.271
15135.569, 116.0838, 3985.81, 1164.108, 1164.337
15135.602, 116.0689, 3984.929, 1164.439, 1164.503
15135.636, 115.99, 3988.177, 1164.571, 1164.597
15135.669, 115.9405, 3989.053, 1164.733, 1164.691
15135.702, 115.8738, 3990.85, 1164.602, 1164.654
15135.736, 115.8442, 3994.86, 1164.668, 1164.684
15135.769, 115.8731, 3999.798, 1164.371, 1164.535
15135.802, 115.9142, 4003.297, 1164.469, 1164.57
15135.836, 115.9542, 4005.656, 1164.376, 1164.501
15135.902, 115.9419, 4007.196, 1164.394, 1164.521
15135.936, 115.8719, 4008.536, 1164.561, 1164.578
15135.969, 115.8626, 4009.544, 1164.792, 1164.679
15136.002, 115.8679, 4010.62, 1164.761, 1164.653
15136.036, 115.8291, 4010.397, 1164.807, 1164.687
15136.069, 115.7546, 4009.79, 1164.702, 1164.657
15136.102, 115.7332, 4007.966, 1164.656, 1164.654
15136.136, 115.6874, 4009.278, 1164.547, 1164.635
15136.169, 115.6555, 3999.299, 1164.644, 1164.67
15136.202, 115.6621, 3992.073, 1164.741, 1164.723
15136.236, 115.6705, 3985.273, 1164.875, 1164.767
15136.269, 115.6591, 3980.406, 1164.853, 1164.785
15136.302, 115.667, 3978.459, 1164.787, 1164.786
15136.336, 115.6274, 3980.031, 1164.653, 1164.74
15136.369, 115.5999, 3982.479, 1164.543, 1164.679
15136.402, 115.5951, 3988.892, 1164.395, 1164.573
