time[ms], HeartBeat(RGB), HeartBeat(IR), HeartBeat(depth), Breathing(depth)
537374.883, 128.885, 12216.77, 697.8629, 697.7034
537374.95, 128.7857, 12184.03, 698.2028, 698.0002
537375.016, 128.8251, 12173.34, 698.5407, 698.3333
537375.083, 128.9413, 12181.26, 698.5067, 698.4844
537375.15, 129.0691, 12225.59, 698.3717, 698.5953
537375.216, 129.2433, 12268.82, 701.0646, 700.1375
537375.283, 129.4071, 12276.46, 702.8135, 701.3763
537375.35, 129.8918, 12167.5, 703.9202, 702.4525
537375.416, 130.3947, 12075.92, 704.2247, 703.2319
537375.483, 130.8078, 12020.19, 703.0732, 703.2674
537375.55, 130.9249, 12005.3, 701.8856, 703.1647
537375.616, 131.103, 11950.65, 698.0367, 701.488
537375.683, 131.3164, 11909.4, 694.6994, 699.6095
537375.75, 131.4647, 11884.21, 692.2273, 697.7692
537375.816, 131.6115, 11855.39, 690.672, 695.9404
537375.883, 131.5453, 11817.43, 691.059, 694.5823
537375.95, 131.3769, 11799.5, 692.002, 693.5314
537376.016, 131.2333, 11758.52, 693.4211, 692.8723
537376.083, 131.0576, 11732.09, 694.8236, 692.5235
537376.15, 130.8483, 11736.04, 696.0895, 692.5032
537376.216, 130.6032, 11747.38, 696.851, 692.6384
537376.283, 130.4282, 11745.2, 696.6713, 692.8901
537376.35, 130.294, 11745.32, 696.4832, 693.3495
537376.416, 130.2099, 11735.19, 696.1716, 693.8808
537376.483, 130.1384, 11711.94, 695.9678, 694.6109
537376.55, 129.959, 11710.3, 695.8342, 695.5417
537376.616, 129.8097, 11708.94, 695.7296, 696.2123
537376.683, 129.7247, 11702.38, 695.6116, 696.6463
537376.75, 129.6951, 11689.49, 695.6105, 696.9023
537376.816, 129.6357, 11689.41, 695.3987, 696.7798
537376.883, 129.5528, 11689.87, 695.0319, 696.4498
537376.95, 129.4734, 11689.49, 694.4569, 695.6951
537377.016, 129.4013, 11690.15, 693.9399, 694.9993
537377.083, 129.3079, 11681.72, 693.5942, 694.4203
537377.15, 129.1812, 11672.32, 693.3218, 693.8818
537377.216, 129.0192, 11664.75, 692.9819, 693.3947
537377.283, 128.8637, 11651.58, 692.7621, 692.9914
537377.35, 128.7208, 11637.12, 692.5966, 692.6505
537377.416, 128.6476, 11627.25, 692.1293, 692.1631
537377.483, 128.5738, 11621.56, 691.9584, 691.8718
537377.55, 128.6434, 11617.3, 691.6207, 691.5013
537377.616, 128.7867, 11616.95, 691.4841, 691.2593
537377.683, 128.9334, 11616.21, 691.229, 690.9891
537377.75, 129.0451, 11621.48, 691.2847, 690.889
537377.816, 129.1241, 11625.54, 691.4739, 690.9205
537377.883, 129.1037, 11628.51, 691.7272, 691.0407
537377.95, 128.9595, 11626.42, 691.9896, 691.2166
