time[ms], HeartBeat(RGB), HeartBeat(IR), HeartBeat(depth), Breathing(depth)
537247.084, 135.6541, 11741.49, 691.5151, 691.5807
537247.151, 135.5968, 11726.77, 691.8381, 691.7676
537247.217, 135.6333, 11711.7, 692.0773, 691.9344
537247.284, 135.6907, 11706.47, 692.176, 692.0511
537247.351, 135.7252, 11705.05, 692.2328, 692.1437
537247.417, 135.7894, 11695.75, 692.6514, 692.4245
537247.484, 135.8279, 11679.5, 692.7661, 692.5663
537247.551, 135.7156, 11659.41, 693.403, 692.9976
537247.617, 135.4281, 11651.45, 694.2321, 693.6052
537247.684, 135.1641, 11679.52, 695.3719, 694.4324
537247.751, 134.9233, 11717.95, 696.3681, 695.272
537247.817, 134.7389, 11723.43, 696.3546, 695.6428
537247.884, 134.6342, 11703.19, 696.4532, 696.0733
537247.951, 134.6758, 11722.96, 696.4455, 696.4516
537248.017, 134.9119, 11750.55, 695.9677, 696.5515
537248.084, 135.1889, 11783.27, 695.2823, 696.4421
537248.151, 135.3901, 11822.94, 694.4733, 696.1624
537248.217, 135.3897, 11859.84, 693.6873, 695.6509
537248.284, 135.2424, 11894.83, 693.1844, 695.0853
537248.351, 135.0022, 11916.74, 693.1151, 694.5911
537248.417, 134.6637, 11905.24, 693.0877, 694.0756
537248.484, 134.3009, 11872.09, 693.3218, 693.7913
537248.551, 134.0339, 11848.66, 693.5801, 693.4798
537248.617, 133.9452, 11823.82, 694.0026, 693.3077
537248.684, 134.0437, 11810.83, 694.4313, 693.296
537248.751, 134.2874, 11816.12, 694.5123, 693.2841
537248.817, 134.522, 11823, 694.5225, 693.3392
537248.884, 134.732, 11848.6, 694.5289, 693.5655
537248.951, 134.9374, 11877.19, 694.5355, 693.8511
537249.017, 135.0443, 11904.39, 694.504, 694.1351
537249.084, 135.0674, 11917.93, 694.3779, 694.3291
537249.151, 134.9553, 11909.28, 694.435, 694.4807
537249.217, 134.7297, 11900.24, 694.0277, 694.4229
537249.284, 134.4814, 11889.55, 693.8644, 694.3984
537249.351, 134.2557, 11900.82, 693.7424, 694.2859
537249.417, 134.0888, 11911.33, 693.4991, 694.0676
537249.484, 133.9945, 11917.47, 693.5237, 693.9292
537249.551, 133.91, 11926.59, 693.7723, 693.8749
537249.617, 133.9229, 11935.12, 694.0705, 693.8887
537249.684, 133.9323, 11950.63, 694.3116, 693.9406
537249.751, 134.0058, 11965.48, 694.3873, 693.9545
537249.817, 134.121, 11969.36, 694.314, 693.9489
537249.884, 134.2613, 11964.91, 694.133, 693.9324
537249.951, 134.3795, 11950.35, 694.1167, 694.0007
537250.017, 134.4866, 11926.42, 694.0289, 694.0408
537250.084, 134.5672, 11893.23, 694.1553, 694.1655
537250.151, 134.6711, 11851.24, 694.282, 694.2744
537250.217, 134.8281, 11812.56, 694.66, 694.509
537250.284, 135.0246, 11781.58, 695.1361, 694.8123
537250.351, 135.3092, 11794.59, 695.4468, 695.0618
537250.417, 135.6733, 11784.07, 695.2574, 695.0822
537250.484, 135.9312, 11795.78, 695.2455, 695.2001
537250.551, 136.1646, 11824.78, 695.2021, 695.2522
537250.617, 136.2814, 11856.07, 695.288, 695.3775
537250.684, 136.2534, 11885.79, 695.1337, 695.3721
537250.751, 136.055, 11876.84, 694.8812, 695.2633
537250.817, 135.7614, 11890.08, 694.6157, 695.1354
537250.884, 135.4561, 11901.17, 694.4844, 695.0163
537250.951, 135.1141, 11913.7, 694.4663, 694.9078
537251.017, 134.8659, 11928.45, 694.4557, 694.7888
537251.084, 134.7023, 11934.46, 694.3943, 694.6473
537251.151, 134.6189, 11940.73, 694.418, 694.5049
537251.217, 134.63, 11947.64, 694.5691, 694.4464
537251.284, 134.7025, 11956.58, 694.802, 694.468
537251.351, 134.7886, 11963.17, 694.9088, 694.4915
537251.417, 134.8642, 11961.43, 695.0343, 694.5976
537251.484, 134.9171, 11969.43, 695.0986, 694.7012
537251.551, 134.9767, 11976.43, 695.1235, 694.8227
537251.617, 134.9878, 11978.07, 695.2086, 694.9822
537251.684, 134.9146, 11974.89, 695.2391, 695.1011
537251.751, 134.7714, 11965.19, 695.3633, 695.2443
537251.817, 134.6319, 11986.78, 695.3552, 695.3533
537251.884, 134.494, 12008.31, 695.2626, 695.389
537251.951, 134.4302, 12025.49, 695.312, 695.473
537252.017, 134.3865, 12041.37, 695.1577, 695.4097
537252.084, 134.3943, 12055.44, 695.1303, 695.3709
537252.151, 134.4593, 12068.98, 695.0418, 695.2925
