time[ms], HeartBeat(RGB), HeartBeat(IR), HeartBeat(depth), Breathing(depth)
530851.154, 126.9614, 12234.53, 675.8632, 675.8259
530851.187, 127.0112, 12219.24, 675.8865, 675.7912
530851.22, 127.0973, 12204.29, 675.9193, 675.7569
530851.254, 127.1543, 12184.42, 676.0186, 675.828
530851.287, 127.2268, 12160.34, 676.1862, 675.9453
530851.32, 127.34, 12141.51, 676.2132, 676.0167
530851.354, 127.5989, 12129.21, 676.4609, 676.1871
530851.387, 127.6236, 12124.58, 676.9244, 676.481
530851.42, 127.5497, 12125.72, 677.0563, 676.6592
530851.454, 127.6368, 12127.26, 677.1129, 676.8452
530851.487, 127.358, 12168.77, 677.5133, 677.2321
530851.52, 126.9912, 12190.59, 678.144, 677.736
530851.554, 126.8629, 12200.93, 678.5811, 678.1647
530851.587, 126.8639, 12204.19, 678.7145, 678.4379
530851.62, 126.9487, 12198.99, 679.1085, 678.8391
530851.654, 127.1934, 12163.85, 679.21, 679.1085
530851.687, 127.4395, 12129.1, 678.5448, 678.9691
530851.72, 127.6842, 12090.55, 677.8781, 678.7571
530851.754, 127.8979, 12054.45, 677.2325, 678.4636
530851.787, 128.1325, 12015.51, 676.7481, 678.1247
530851.82, 128.3178, 11968.03, 676.6618, 677.8356
530851.854, 128.4881, 11892.34, 676.8355, 677.6172
530851.887, 128.7603, 11805.77, 677.0328, 677.4146
530851.92, 129.004, 11722.61, 677.2039, 677.2295
530851.954, 129.2166, 11645.95, 677.5345, 677.1354
530851.987, 129.4479, 11601.58, 677.8091, 677.1079
530852.02, 129.4855, 11560.46, 677.9372, 677.173
530852.054, 129.5051, 11524.01, 677.9402, 677.2374
530852.087, 129.5108, 11503.98, 677.963, 677.3312
530852.12, 129.4952, 11499.46, 678.2343, 677.6078
530852.154, 129.5233, 11496.63, 678.6541, 678.035
530852.187, 129.4996, 11492.4, 679.0219, 678.4785
530852.22, 129.4278, 11505.27, 679.5197, 678.9969
530852.254, 129.2361, 11522.52, 680.2081, 679.6277
530852.287, 129.0805, 11546.91, 680.517, 680.1063
530852.32, 128.8784, 11577.16, 680.7657, 680.5099
530852.354, 128.5708, 11600.97, 680.6802, 680.6713
530852.387, 128.5047, 11624.14, 680.0516, 680.5517
530852.42, 128.3995, 11646.24, 679.1969, 680.2349
530852.454, 128.2937, 11667.34, 678.4736, 679.8529
530852.487, 128.2158, 11683.81, 678.0827, 679.53
530852.52, 128.1441, 11705.92, 677.86, 679.1946
530852.554, 128.1298, 11736.75, 677.7659, 678.814
530852.587, 128.0585, 11762.53, 677.8519, 678.4578
530852.62, 127.9399, 11786.5, 678.0948, 678.2209
530852.654, 127.8104, 11795.02, 678.4216, 678.0656
530852.687, 127.6449, 11799.78, 678.4473, 677.8542
530852.72, 127.5304, 11797.41, 678.6206, 677.826
530852.754, 127.3279, 11789.01, 678.9451, 677.9879
530852.787, 127.1041, 11778.94, 679.0474, 678.1382
530852.82, 126.9527, 11765.4, 679.4482, 678.4999
530852.854, 126.8412, 11751.68, 679.7195, 678.8674
530852.887, 126.7554, 11737.58, 679.6288, 679.12
530852.92, 126.7648, 11725.84, 679.6227, 679.4214
530852.954, 126.5774, 11718.91, 679.7661, 679.7298
530852.987, 126.4191, 11712.03, 679.8977, 680.009
530853.02, 126.3025, 11696.93, 679.8425, 680.142
530853.054, 126.2256, 11683.51, 679.9996, 680.2718
530853.087, 126.1485, 11671.44, 680.2948, 680.4324
530853.12, 126.1468, 11665.27, 680.5197, 680.5887
530853.154, 126.0458, 11659.17, 680.9756, 680.8603
530853.187, 125.9426, 11659.5, 681.1539, 681.0219
530853.22, 125.7486, 11666.71, 681.3445, 681.2196
530853.254, 125.5497, 11689.85, 681.3398, 681.3137
530853.287, 125.3216, 11713.8, 681.4138, 681.4437
530853.32, 125.1174, 11740.76, 681.3375, 681.4931
530853.354, 125.07, 11758, 681.1775, 681.4766
530853.387, 125.0139, 11769.14, 680.962, 681.4139
530853.42, 124.9123, 11778.89, 680.6859, 681.2756
530853.454, 124.8341, 11784.18, 680.6024, 681.165
530853.487, 124.8352, 11781.81, 680.5359, 681.0357
530853.52, 124.7692, 11780.22, 680.4456, 680.8641
530853.554, 124.7017, 11780.26, 680.4521, 680.6901
530853.587, 124.6525, 11782.55, 680.3787, 680.5104
530853.62, 124.5217, 11781.13, 680.2419, 680.3021
530853.654, 124.4761, 11796.13, 680.0733, 680.0886
530853.687, 124.4819, 11810.36, 679.9995, 679.9281
530853.72, 124.5369, 11816.93, 679.7903, 679.7427
530853.754, 124.5752, 11817.23, 679.777, 679.6796
530853.787, 124.579, 11814.28, 679.839, 679.6532
530853.82, 124.6614, 11809.51, 679.8703, 679.6516
530853.854, 124.7591, 11803.62, 679.8547, 679.6221
530853.887, 124.8218, 11802.14, 679.7617, 679.5739
530853.92, 124.8993, 11800.85, 679.7331, 679.559
530853.954, 124.9732, 11803.66, 679.6581, 679.5466
530853.987, 124.9438, 11810.89, 679.6166, 679.5392
530854.02, 124.8883, 11817.8, 679.5626, 679.5143
530854.054, 124.8426, 11825.41, 679.3698, 679.4168
530854.087, 124.7805, 11833.88, 679.3964, 679.4004
530854.12, 124.7236, 11840.95, 679.1813, 679.2756
530854.154, 124.796, 11848.95, 679.1719, 679.2404
530854.187, 124.8519, 11857.76, 678.829, 679.0302
