time[ms], HeartBeat(RGB), HeartBeat(IR), HeartBeat(depth), Breathing(depth)
530173381, 127.4805, 12628.53, 672.5364, 672.2141
530173433, 127.4732, 12613.25, 672.5, 672.2894
530173433, 127.4167, 12600.55, 672.8907, 672.5739
530173486, 127.3542, 12597.82, 673.2675, 672.8878
530173486, 127.3468, 12597.99, 673.7064, 673.2615
530173538, 127.3727, 12601.55, 674.048, 673.6192
530173591, 127.4217, 12610.21, 674.0453, 673.8126
530173591, 127.5141, 12621.65, 673.9923, 673.9592
530173643, 127.6932, 12643.51, 673.9304, 674.1011
530173696, 127.8526, 12679.43, 673.9571, 674.259
530173696, 128.0934, 12708.1, 673.8416, 674.2857
530173748, 128.2814, 12710.42, 673.547, 674.1646
530173800, 128.5022, 12727.12, 673.3932, 674.0289
530173800, 128.658, 12737.62, 673.3665, 673.9409
530173853, 128.7116, 12748.16, 673.4026, 673.8539
530173853, 128.6921, 12735.14, 673.5141, 673.8
530173905, 128.6151, 12717.21, 673.5318, 673.7068
530173958, 128.5287, 12700.28, 673.6222, 673.6564
530173958, 128.4493, 12686.64, 673.6934, 673.5927
530174010, 128.3752, 12679.47, 673.7576, 673.533
530174063, 128.3339, 12675.79, 673.8792, 673.5745
530174063, 128.21, 12687.26, 674.0763, 673.7167
530174115, 128.084, 12701.77, 673.98, 673.7672
530174167, 127.9058, 12706.01, 674.0641, 673.8912
530174167, 127.7258, 12707.76, 674.4119, 674.1618
530174220, 127.5781, 12696.64, 674.7956, 674.4576
530174220, 127.4698, 12684.13, 675.2006, 674.7798
530174272, 127.3943, 12668.33, 675.3213, 674.9902
530174325, 127.358, 12652.17, 675.5768, 675.2947
530174325, 127.3816, 12633.54, 675.8174, 675.6063
530174377, 127.3933, 12619.62, 675.8952, 675.803
530174430, 127.3958, 12609.96, 675.9731, 675.9761
530174430, 127.4041, 12605.96, 676.144, 676.2266
530174482, 127.5057, 12601.75, 676.1492, 676.3643
530174534, 127.6435, 12601.6, 676.199, 676.4719
530174534, 127.7785, 12600.21, 676.2823, 676.5734
530174587, 127.873, 12604.74, 676.4875, 676.7073
530174587, 127.8822, 12613.28, 676.388, 676.6942
530174639, 127.8712, 12619.61, 676.3552, 676.6617
530174692, 127.8486, 12622.72, 676.3099, 676.6046
530174692, 127.8013, 12626.27, 676.103, 676.4666
530174744, 127.7331, 12630.66, 675.9083, 676.3006
530174797, 127.6782, 12636.3, 675.8289, 676.1328
530174797, 127.6359, 12644.26, 675.8165, 676.0384
530174849, 127.6234, 12649.57, 675.7241, 675.9154
530174901, 127.5682, 12646.78, 675.607, 675.7593
530174901, 127.5131, 12643.51, 675.626, 675.6595
530174954, 127.4337, 12630.38, 675.6434, 675.5731
530174954, 127.3395, 12619.75, 675.5803, 675.4773
530175006, 127.2429, 12604.73, 675.6752, 675.4771
530175059, 127.1615, 12593.95, 675.5224, 675.3708
530175059, 127.1169, 12578.24, 675.5381, 675.3672
530175111, 127.1155, 12568.38, 675.7418, 675.48
530175164, 127.1223, 12571.44, 675.8107, 675.5236
530175164, 127.1895, 12576.31, 676.0055, 675.674
530175216, 127.2638, 12582.64, 676.0522, 675.7809
530175268, 127.3362, 12576.52, 676.1216, 675.9048
530175268, 127.3916, 12578.77, 676.08, 675.951
530175321, 127.4221, 12571.86, 675.9742, 675.976
530175321, 127.4348, 12565.9, 675.7618, 675.9166
530175373, 127.4578, 12565.2, 675.6138, 675.8724
530175426, 127.4768, 12564.03, 675.6464, 675.8796
530175426, 127.513, 12565.2, 675.7415, 675.9002
530175478, 127.5101, 12571.82, 675.6307, 675.8198
530175531, 127.5647, 12577.6, 675.7729, 675.8263
530175531, 127.5842, 12585.37, 675.8387, 675.811
530175583, 127.6538, 12595.89, 675.979, 675.8541
530175635, 127.6866, 12592.77, 676.1011, 675.9147
530175635, 127.6718, 12590.36, 675.9849, 675.8644
530175688, 127.6464, 12583.05, 675.8396, 675.8232
530175688, 127.5935, 12574.31, 675.7908, 675.7966
